year,category,sequence,shortname,circuit_name,rider,rider_name,team_name,bike_name,position,points,number,country,speed,time
2002,MotoGP,1,JPN,Suzuka,1762,"Rossi, Valentino",?,Honda,1,25,,IT,148.0,49'32.766
2002,MotoGP,1,JPN,Suzuka,1977,"Ryo, Akira",?,Suzuki,2,20,,JP,148.0,+1.550
2002,MotoGP,1,JPN,Suzuka,1647,"Checa, Carlos",?,Yamaha,3,16,,ES,147.6,+8.353
2002,MotoGP,1,JPN,Suzuka,1343,"Ito, Shinichi",?,Honda,4,13,,JP,147.5,+10.829
2002,MotoGP,1,JPN,Suzuka,1664,"Abe, Norick",?,Yamaha,5,11,,JP,147.0,+20.423
2002,MotoGP,1,JPN,Suzuka,1310,"Barros, Alex",?,Honda,6,10,,BR,146.4,+32.259
2002,MotoGP,1,JPN,Suzuka,1509,"Aoki, Nobuatsu",?,Proton KR,7,9,,JP,146.1,+39.633
2002,MotoGP,1,JPN,Suzuka,1607,"Laconi, Regis",?,Aprilia,8,8,,FR,140.6,1 Lap
2002,MotoGP,1,JPN,Suzuka,1516,"Capirossi, Loris",?,Honda,9,7,,IT,140.4,1 Lap
2002,MotoGP,1,JPN,Suzuka,1771,"Kato, Daijiro",?,Honda,10,6,,JP,140.2,1 Lap
2002,MotoGP,1,JPN,Suzuka,1508,"Harada, Tetsuya",?,Honda,11,5,,JP,139.3,1 Lap
2002,MotoGP,1,JPN,Suzuka,2049,"Hopkins, John",?,Yamaha,12,4,,US,108.1,5 Laps
2002,MotoGP,1,JPN,Suzuka,1626,"Mccoy, Garry",?,Yamaha,-1,0,,AU,137.8,19 Laps
2002,MotoGP,2,RSA,Phakisa Freeway,1682,"Ukawa, Tohru",?,Honda,1,25,,JP,159.6,44'39.467
2002,MotoGP,2,RSA,Phakisa Freeway,1762,"Rossi, Valentino",?,Honda,2,20,,IT,159.5,+0.932
2002,MotoGP,2,RSA,Phakisa Freeway,1516,"Capirossi, Loris",?,Honda,3,16,,IT,159.1,+8.259
2002,MotoGP,2,RSA,Phakisa Freeway,1771,"Kato, Daijiro",?,Honda,4,13,,JP,158.0,+26.962
2002,MotoGP,2,RSA,Phakisa Freeway,1647,"Checa, Carlos",?,Yamaha,5,11,,ES,158.0,+27.227
2002,MotoGP,2,RSA,Phakisa Freeway,1714,"Jacque, Olivier",?,Yamaha,6,10,,FR,157.9,+27.889
2002,MotoGP,2,RSA,Phakisa Freeway,1664,"Abe, Norick",?,Yamaha,7,9,,JP,157.8,+30.215
2002,MotoGP,2,RSA,Phakisa Freeway,1875,"Nakano, Shinya",?,Yamaha,8,8,,JP,157.8,+30.781
2002,MotoGP,2,RSA,Phakisa Freeway,1567,"Biaggi, Max",?,Yamaha,9,7,,IT,157.0,+43.796
2002,MotoGP,2,RSA,Phakisa Freeway,1626,"Mccoy, Garry",?,Yamaha,10,6,,AU,156.9,+45.501
2002,MotoGP,2,RSA,Phakisa Freeway,1568,"Vd Goorbergh, Jurgen",?,Honda,11,5,,NL,155.7,+1'06.938
2002,MotoGP,2,RSA,Phakisa Freeway,1508,"Harada, Tetsuya",?,Honda,12,4,,JP,155.0,+1'19.560
2002,MotoGP,2,RSA,Phakisa Freeway,1645,"Riba, Pere",?,Yamaha,13,3,,ES,155.0,+1'19.857
2002,MotoGP,2,RSA,Phakisa Freeway,2049,"Hopkins, John",?,Yamaha,14,2,,US,154.3,+1'31.519
2002,MotoGP,2,RSA,Phakisa Freeway,1607,"Laconi, Regis",?,Aprilia,15,1,,FR,154.2,+1'32.725
2002,MotoGP,2,RSA,Phakisa Freeway,1588,"Gibernau, Sete",?,Suzuki,16,0,,ES,152.2,1 Lap
2002,MotoGP,2,RSA,Phakisa Freeway,1619,"Mcwilliams, Jeremy",?,Proton KR,-1,0,,GB,149.2,23 Laps
2002,MotoGP,3,SPA,Jerez,1762,"Rossi, Valentino",?,Honda,1,25,,IT,152.9,46'51.843
2002,MotoGP,3,SPA,Jerez,1771,"Kato, Daijiro",?,Honda,2,20,,JP,152.8,+1.190
2002,MotoGP,3,SPA,Jerez,1682,"Ukawa, Tohru",?,Honda,3,16,,JP,152.8,+2.445
2002,MotoGP,3,SPA,Jerez,1516,"Capirossi, Loris",?,Honda,4,13,,IT,152.7,+2.830
2002,MotoGP,3,SPA,Jerez,1310,"Barros, Alex",?,Honda,5,11,,BR,152.7,+4.117
2002,MotoGP,3,SPA,Jerez,1664,"Abe, Norick",?,Yamaha,6,10,,JP,151.9,+18.517
2002,MotoGP,3,SPA,Jerez,1509,"Aoki, Nobuatsu",?,Proton KR,7,9,,JP,151.2,+31.785
2002,MotoGP,3,SPA,Jerez,1660,"Roberts Jr, Kenny",?,Suzuki,8,8,,US,151.1,+33.876
2002,MotoGP,3,SPA,Jerez,1588,"Gibernau, Sete",?,Suzuki,9,7,,ES,150.8,+38.762
2002,MotoGP,3,SPA,Jerez,1508,"Harada, Tetsuya",?,Honda,10,6,,JP,150.8,+39.975
2002,MotoGP,3,SPA,Jerez,1714,"Jacque, Olivier",?,Yamaha,11,5,,FR,150.4,+47.496
2002,MotoGP,3,SPA,Jerez,1568,"Vd Goorbergh, Jurgen",?,Honda,12,4,,NL,150.3,+47.930
2002,MotoGP,3,SPA,Jerez,2049,"Hopkins, John",?,Yamaha,13,3,,US,150.2,+50.249
2002,MotoGP,3,SPA,Jerez,1607,"Laconi, Regis",?,Aprilia,14,2,,FR,150.2,+50.684
2002,MotoGP,3,SPA,Jerez,1626,"Mccoy, Garry",?,Yamaha,15,1,,AU,150.1,+53.293
2002,MotoGP,3,SPA,Jerez,1619,"Mcwilliams, Jeremy",?,Proton KR,16,0,,GB,150.0,+54.171
2002,MotoGP,3,SPA,Jerez,1875,"Nakano, Shinya",?,Yamaha,17,0,,JP,148.5,+1'24.014
2002,MotoGP,3,SPA,Jerez,1567,"Biaggi, Max",?,Yamaha,-3,0,,IT,,0 Lap
2002,MotoGP,4,FRA,Le Mans,1762,"Rossi, Valentino",?,Honda,1,25,,IT,153.2,34'22.335
2002,MotoGP,4,FRA,Le Mans,1682,"Ukawa, Tohru",?,Honda,2,20,,JP,153.2,+0.217
2002,MotoGP,4,FRA,Le Mans,1567,"Biaggi, Max",?,Yamaha,3,16,,IT,153.2,+0.604
2002,MotoGP,4,FRA,Le Mans,1664,"Abe, Norick",?,Yamaha,4,13,,JP,153.1,+1.701
2002,MotoGP,4,FRA,Le Mans,1660,"Roberts Jr, Kenny",?,Suzuki,5,11,,US,152.6,+8.464
2002,MotoGP,4,FRA,Le Mans,1509,"Aoki, Nobuatsu",?,Proton KR,6,10,,JP,152.5,+10.212
2002,MotoGP,4,FRA,Le Mans,1516,"Capirossi, Loris",?,Honda,7,9,,IT,152.3,+12.437
2002,MotoGP,4,FRA,Le Mans,1310,"Barros, Alex",?,Honda,8,8,,BR,152.1,+15.231
2002,MotoGP,4,FRA,Le Mans,1607,"Laconi, Regis",?,Aprilia,9,7,,FR,152.0,+17.155
2002,MotoGP,4,FRA,Le Mans,1619,"Mcwilliams, Jeremy",?,Proton KR,10,6,,GB,151.6,+21.847
2002,MotoGP,4,FRA,Le Mans,2049,"Hopkins, John",?,Yamaha,11,5,,US,151.4,+25.121
2002,MotoGP,4,FRA,Le Mans,1588,"Gibernau, Sete",?,Suzuki,12,4,,ES,151.3,+25.919
2002,MotoGP,4,FRA,Le Mans,1875,"Nakano, Shinya",?,Yamaha,13,3,,JP,151.3,+26.227
2002,MotoGP,4,FRA,Le Mans,1604,"Bayle, Jean Michel",?,Yamaha,14,2,,FR,151.2,+27.011
2002,MotoGP,4,FRA,Le Mans,1568,"Vd Goorbergh, Jurgen",?,Honda,15,1,,NL,151.0,+30.342
2002,MotoGP,4,FRA,Le Mans,1669,"Cardoso, Jose Luis",?,Yamaha,16,0,,ES,150.6,+36.574
2002,MotoGP,4,FRA,Le Mans,1647,"Checa, Carlos",?,Yamaha,-1,0,,ES,153.3,13 Laps
2002,MotoGP,5,ITA,Mugello,1762,"Rossi, Valentino",?,Honda,1,25,,IT,165.7,43'40.837
2002,MotoGP,5,ITA,Mugello,1567,"Biaggi, Max",?,Yamaha,2,20,,IT,165.6,+2.404
2002,MotoGP,5,ITA,Mugello,1682,"Ukawa, Tohru",?,Honda,3,16,,JP,165.0,+11.289
2002,MotoGP,5,ITA,Mugello,1647,"Checa, Carlos",?,Yamaha,4,13,,ES,165.0,+11.408
2002,MotoGP,5,ITA,Mugello,1310,"Barros, Alex",?,Honda,5,11,,BR,164.7,+15.371
2002,MotoGP,5,ITA,Mugello,1516,"Capirossi, Loris",?,Honda,6,10,,IT,164.4,+20.010
2002,MotoGP,5,ITA,Mugello,1664,"Abe, Norick",?,Yamaha,7,9,,JP,164.0,+26.447
2002,MotoGP,5,ITA,Mugello,1607,"Laconi, Regis",?,Aprilia,8,8,,FR,163.8,+30.333
2002,MotoGP,5,ITA,Mugello,1714,"Jacque, Olivier",?,Yamaha,9,7,,FR,163.8,+30.428
2002,MotoGP,5,ITA,Mugello,1508,"Harada, Tetsuya",?,Honda,10,6,,JP,163.8,+30.759
2002,MotoGP,5,ITA,Mugello,1875,"Nakano, Shinya",?,Yamaha,11,5,,JP,163.6,+34.162
2002,MotoGP,5,ITA,Mugello,2049,"Hopkins, John",?,Yamaha,12,4,,US,163.4,+37.715
2002,MotoGP,5,ITA,Mugello,1604,"Bayle, Jean Michel",?,Yamaha,13,3,,FR,160.9,+1'17.803
2002,MotoGP,5,ITA,Mugello,1568,"Vd Goorbergh, Jurgen",?,Honda,14,2,,NL,160.8,+1'19.800
2002,MotoGP,5,ITA,Mugello,1645,"Riba, Pere",?,Yamaha,-1,0,,ES,151.3,22 Laps
2002,MotoGP,6,CAT,Catalunya,1762,"Rossi, Valentino",?,Honda,1,25,,IT,159.9,44'20.679
2002,MotoGP,6,CAT,Catalunya,1682,"Ukawa, Tohru",?,Honda,2,20,,JP,159.8,+0.880
2002,MotoGP,6,CAT,Catalunya,1647,"Checa, Carlos",?,Yamaha,3,16,,ES,159.4,+8.531
2002,MotoGP,6,CAT,Catalunya,1567,"Biaggi, Max",?,Yamaha,4,13,,IT,159.2,+11.918
2002,MotoGP,6,CAT,Catalunya,1310,"Barros, Alex",?,Honda,5,11,,BR,158.6,+22.382
2002,MotoGP,6,CAT,Catalunya,1516,"Capirossi, Loris",?,Honda,6,10,,IT,158.1,+30.096
2002,MotoGP,6,CAT,Catalunya,1660,"Roberts Jr, Kenny",?,Suzuki,7,9,,US,158.0,+31.525
2002,MotoGP,6,CAT,Catalunya,1771,"Kato, Daijiro",?,Honda,8,8,,JP,157.9,+33.912
2002,MotoGP,6,CAT,Catalunya,1714,"Jacque, Olivier",?,Yamaha,9,7,,FR,157.7,+36.847
2002,MotoGP,6,CAT,Catalunya,2049,"Hopkins, John",?,Yamaha,10,6,,US,156.9,+51.580
2002,MotoGP,6,CAT,Catalunya,1977,"Ryo, Akira",?,Suzuki,11,5,,JP,156.8,+53.303
2002,MotoGP,6,CAT,Catalunya,1619,"Mcwilliams, Jeremy",?,Proton KR,12,4,,GB,156.5,+57.585
2002,MotoGP,6,CAT,Catalunya,1508,"Harada, Tetsuya",?,Honda,13,3,,JP,156.3,+1'01.823
2002,MotoGP,6,CAT,Catalunya,1607,"Laconi, Regis",?,Aprilia,14,2,,FR,156.2,+1'03.002
2002,MotoGP,6,CAT,Catalunya,1645,"Riba, Pere",?,Yamaha,15,1,,ES,156.1,+1'04.723
2002,MotoGP,6,CAT,Catalunya,1664,"Abe, Norick",?,Yamaha,16,0,,JP,141.6,2 Laps
2002,MotoGP,6,CAT,Catalunya,1875,"Nakano, Shinya",?,Yamaha,-4,0,,JP,,25 Laps
2002,MotoGP,7,NED,Assen,1762,"Rossi, Valentino",?,Honda,1,25,,IT,177.0,38'49.425
2002,MotoGP,7,NED,Assen,1310,"Barros, Alex",?,Honda,2,20,,BR,176.8,+2.233
2002,MotoGP,7,NED,Assen,1647,"Checa, Carlos",?,Yamaha,3,16,,ES,176.2,+9.682
2002,MotoGP,7,NED,Assen,1567,"Biaggi, Max",?,Yamaha,4,13,,IT,176.0,+13.308
2002,MotoGP,7,NED,Assen,1682,"Ukawa, Tohru",?,Honda,5,11,,JP,174.5,+32.386
2002,MotoGP,7,NED,Assen,1660,"Roberts Jr, Kenny",?,Suzuki,6,10,,US,174.5,+33.278
2002,MotoGP,7,NED,Assen,2049,"Hopkins, John",?,Yamaha,7,9,,US,174.3,+35.463
2002,MotoGP,7,NED,Assen,1875,"Nakano, Shinya",?,Yamaha,8,8,,JP,174.3,+35.619
2002,MotoGP,7,NED,Assen,1664,"Abe, Norick",?,Yamaha,9,7,,JP,174.2,+37.443
2002,MotoGP,7,NED,Assen,1568,"Vd Goorbergh, Jurgen",?,Honda,10,6,,NL,173.4,+48.100
2002,MotoGP,7,NED,Assen,1899,"Hofmann, Alex",?,Yamaha,11,5,,DE,173.4,+48.325
2002,MotoGP,7,NED,Assen,1771,"Kato, Daijiro",?,Honda,12,4,,JP,173.3,+49.371
2002,MotoGP,7,NED,Assen,1508,"Harada, Tetsuya",?,Honda,13,3,,JP,173.1,+51.758
2002,MotoGP,7,NED,Assen,1714,"Jacque, Olivier",?,Yamaha,14,2,,FR,171.7,+1'11.790
2002,MotoGP,7,NED,Assen,1977,"Ryo, Akira",?,Suzuki,15,1,,JP,163.3,+3'14.399
2002,MotoGP,7,NED,Assen,1645,"Riba, Pere",?,Yamaha,-1,0,,ES,163.9,16 Laps
2002,MotoGP,8,GBR,Donington Park,1762,"Rossi, Valentino",?,Honda,1,25,,IT,155.6,46'32.888
2002,MotoGP,8,GBR,Donington Park,1567,"Biaggi, Max",?,Yamaha,2,20,,IT,155.4,+2.371
2002,MotoGP,8,GBR,Donington Park,1310,"Barros, Alex",?,Honda,3,16,,BR,155.3,+5.533
2002,MotoGP,8,GBR,Donington Park,1664,"Abe, Norick",?,Yamaha,4,13,,JP,154.4,+22.036
2002,MotoGP,8,GBR,Donington Park,1714,"Jacque, Olivier",?,Yamaha,5,11,,FR,154.0,+28.087
2002,MotoGP,8,GBR,Donington Park,1588,"Gibernau, Sete",?,Suzuki,6,10,,ES,154.0,+28.400
2002,MotoGP,8,GBR,Donington Park,1771,"Kato, Daijiro",?,Honda,7,9,,JP,154.0,+28.947
2002,MotoGP,8,GBR,Donington Park,2049,"Hopkins, John",?,Yamaha,8,8,,US,153.8,+31.497
2002,MotoGP,8,GBR,Donington Park,1509,"Aoki, Nobuatsu",?,Proton KR,9,7,,JP,153.8,+31.947
2002,MotoGP,8,GBR,Donington Park,1875,"Nakano, Shinya",?,Yamaha,10,6,,JP,153.3,+41.454
2002,MotoGP,8,GBR,Donington Park,1508,"Harada, Tetsuya",?,Honda,11,5,,JP,152.9,+49.458
2002,MotoGP,8,GBR,Donington Park,1626,"Mccoy, Garry",?,Yamaha,12,4,,AU,152.6,+53.709
2002,MotoGP,8,GBR,Donington Park,1977,"Ryo, Akira",?,Suzuki,13,3,,JP,152.6,+54.480
2002,MotoGP,8,GBR,Donington Park,1660,"Roberts Jr, Kenny",?,Suzuki,14,2,,US,152.6,+54.594
2002,MotoGP,8,GBR,Donington Park,1568,"Vd Goorbergh, Jurgen",?,Honda,15,1,,NL,152.6,+54.866
2002,MotoGP,8,GBR,Donington Park,1607,"Laconi, Regis",?,Aprilia,16,0,,FR,152.5,+55.525
2002,MotoGP,8,GBR,Donington Park,1899,"Hofmann, Alex",?,Honda,17,0,,DE,152.0,+1'05.901
2002,MotoGP,8,GBR,Donington Park,1619,"Mcwilliams, Jeremy",?,Proton KR,-1,0,,GB,148.1,24 Laps
2002,MotoGP,9,GER,Sachsenring,1762,"Rossi, Valentino",?,Honda,1,25,,IT,153.1,43'32.783
2002,MotoGP,9,GER,Sachsenring,1567,"Biaggi, Max",?,Yamaha,2,20,,IT,153.1,+0.730
2002,MotoGP,9,GER,Sachsenring,1682,"Ukawa, Tohru",?,Honda,3,16,,JP,153.0,+1.100
2002,MotoGP,9,GER,Sachsenring,1647,"Checa, Carlos",?,Yamaha,4,13,,ES,153.0,+2.330
2002,MotoGP,9,GER,Sachsenring,1875,"Nakano, Shinya",?,Yamaha,5,11,,JP,152.9,+2.743
2002,MotoGP,9,GER,Sachsenring,1664,"Abe, Norick",?,Yamaha,6,10,,JP,152.9,+2.780
2002,MotoGP,9,GER,Sachsenring,1619,"Mcwilliams, Jeremy",?,Proton KR,7,9,,GB,152.2,+15.438
2002,MotoGP,9,GER,Sachsenring,1509,"Aoki, Nobuatsu",?,Proton KR,8,8,,JP,152.0,+18.980
2002,MotoGP,9,GER,Sachsenring,1626,"Mccoy, Garry",?,Yamaha,9,7,,AU,152.0,+19.269
2002,MotoGP,9,GER,Sachsenring,1899,"Hofmann, Alex",?,Honda,10,6,,DE,151.1,+34.533
2002,MotoGP,9,GER,Sachsenring,1977,"Ryo, Akira",?,Suzuki,11,5,,JP,151.1,+34.592
2002,MotoGP,9,GER,Sachsenring,1568,"Vd Goorbergh, Jurgen",?,Honda,12,4,,NL,150.5,+45.404
2002,MotoGP,9,GER,Sachsenring,1669,"Cardoso, Jose Luis",?,Yamaha,13,3,,ES,148.8,+1'16.460
2002,MotoGP,9,GER,Sachsenring,1588,"Gibernau, Sete",?,Suzuki,-1,0,,ES,151.7,20 Laps
2002,MotoGP,10,CZE,Brno,1567,"Biaggi, Max",?,Yamaha,1,25,,IT,159.9,44'36.498
2002,MotoGP,10,CZE,Brno,1771,"Kato, Daijiro",?,Honda,2,20,,JP,159.7,+2.755
2002,MotoGP,10,CZE,Brno,1682,"Ukawa, Tohru",?,Honda,3,16,,JP,159.4,+7.598
2002,MotoGP,10,CZE,Brno,1588,"Gibernau, Sete",?,Suzuki,4,13,,ES,159.2,+11.889
2002,MotoGP,10,CZE,Brno,1647,"Checa, Carlos",?,Yamaha,5,11,,ES,159.0,+14.029
2002,MotoGP,10,CZE,Brno,1516,"Capirossi, Loris",?,Honda,6,10,,IT,158.8,+18.260
2002,MotoGP,10,CZE,Brno,1619,"Mcwilliams, Jeremy",?,Proton KR,7,9,,GB,158.4,+24.840
2002,MotoGP,10,CZE,Brno,1664,"Abe, Norick",?,Yamaha,8,8,,JP,158.3,+26.572
2002,MotoGP,10,CZE,Brno,1310,"Barros, Alex",?,Honda,9,7,,BR,158.2,+28.741
2002,MotoGP,10,CZE,Brno,1714,"Jacque, Olivier",?,Yamaha,10,6,,FR,158.2,+29.156
2002,MotoGP,10,CZE,Brno,1660,"Roberts Jr, Kenny",?,Suzuki,11,5,,US,157.9,+32.920
2002,MotoGP,10,CZE,Brno,1568,"Vd Goorbergh, Jurgen",?,Honda,12,4,,NL,157.6,+38.670
2002,MotoGP,10,CZE,Brno,1626,"Mccoy, Garry",?,Yamaha,13,3,,AU,157.2,+45.144
2002,MotoGP,10,CZE,Brno,1977,"Ryo, Akira",?,Suzuki,14,2,,JP,156.8,+51.932
2002,MotoGP,10,CZE,Brno,1508,"Harada, Tetsuya",?,Honda,15,1,,JP,156.3,+1'02.171
2002,MotoGP,10,CZE,Brno,1607,"Laconi, Regis",?,Aprilia,16,0,,FR,156.2,+1'02.238
2002,MotoGP,10,CZE,Brno,1990,"Guintoli, Sylvain",?,Yamaha,17,0,,FR,155.6,+1'13.465
2002,MotoGP,10,CZE,Brno,1875,"Nakano, Shinya",?,Yamaha,-4,0,,JP,,22 Laps
2002,MotoGP,11,POR,Estoril,1762,"Rossi, Valentino",?,Honda,1,25,,IT,129.6,54'12.962
2002,MotoGP,11,POR,Estoril,1647,"Checa, Carlos",?,Yamaha,2,20,,ES,128.7,+22.200
2002,MotoGP,11,POR,Estoril,1682,"Ukawa, Tohru",?,Honda,3,16,,JP,128.6,+24.220
2002,MotoGP,11,POR,Estoril,1660,"Roberts Jr, Kenny",?,Suzuki,4,13,,US,128.0,+40.832
2002,MotoGP,11,POR,Estoril,1310,"Barros, Alex",?,Honda,5,11,,BR,127.9,+42.709
2002,MotoGP,11,POR,Estoril,1567,"Biaggi, Max",?,Yamaha,6,10,,IT,127.9,+44.064
2002,MotoGP,11,POR,Estoril,1664,"Abe, Norick",?,Yamaha,7,9,,JP,125.4,+1'49.012
2002,MotoGP,11,POR,Estoril,2049,"Hopkins, John",?,Yamaha,8,8,,US,124.9,+2'03.101
2002,MotoGP,11,POR,Estoril,1619,"Mcwilliams, Jeremy",?,Proton KR,9,7,,GB,124.2,1 Lap
2002,MotoGP,11,POR,Estoril,1508,"Harada, Tetsuya",?,Honda,10,6,,JP,123.1,1 Lap
2002,MotoGP,11,POR,Estoril,1626,"Mccoy, Garry",?,Yamaha,11,5,,AU,122.6,1 Lap
2002,MotoGP,11,POR,Estoril,1875,"Nakano, Shinya",?,Yamaha,12,4,,JP,122.4,1 Lap
2002,MotoGP,11,POR,Estoril,1645,"Riba, Pere",?,Yamaha,-4,0,,ES,,28 Laps
2002,MotoGP,12,RIO,Nelson Piquet,1762,"Rossi, Valentino",?,Honda,1,25,,IT,144.5,49'09.516
2002,MotoGP,12,RIO,Nelson Piquet,1567,"Biaggi, Max",?,Yamaha,2,20,,IT,144.4,+1.674
2002,MotoGP,12,RIO,Nelson Piquet,1660,"Roberts Jr, Kenny",?,Suzuki,3,16,,US,143.6,+18.764
2002,MotoGP,12,RIO,Nelson Piquet,1310,"Barros, Alex",?,Honda,4,13,,BR,143.3,+24.759
2002,MotoGP,12,RIO,Nelson Piquet,1516,"Capirossi, Loris",?,Honda,5,11,,IT,142.9,+32.354
2002,MotoGP,12,RIO,Nelson Piquet,1664,"Abe, Norick",?,Yamaha,6,10,,JP,142.8,+34.360
2002,MotoGP,12,RIO,Nelson Piquet,1714,"Jacque, Olivier",?,Yamaha,7,9,,FR,142.4,+44.250
2002,MotoGP,12,RIO,Nelson Piquet,1588,"Gibernau, Sete",?,Suzuki,8,8,,ES,141.8,+57.150
2002,MotoGP,12,RIO,Nelson Piquet,1568,"Vd Goorbergh, Jurgen",?,Honda,9,7,,NL,141.2,+1'09.987
2002,MotoGP,12,RIO,Nelson Piquet,1626,"Mccoy, Garry",?,Yamaha,10,6,,AU,140.8,+1'17.611
2002,MotoGP,12,RIO,Nelson Piquet,1669,"Cardoso, Jose Luis",?,Yamaha,11,5,,ES,140.6,+1'20.837
2002,MotoGP,12,RIO,Nelson Piquet,1509,"Aoki, Nobuatsu",?,Proton KR,12,4,,JP,139.3,+1'50.774
2002,MotoGP,12,RIO,Nelson Piquet,1508,"Harada, Tetsuya",?,Honda,13,3,,JP,138.2,1 Lap
2002,MotoGP,12,RIO,Nelson Piquet,2049,"Hopkins, John",?,Yamaha,14,2,,US,134.2,1 Lap
2002,MotoGP,12,RIO,Nelson Piquet,1771,"Kato, Daijiro",?,Honda,-4,0,,JP,,24 Laps
2002,MotoGP,13,PAC,Motegi,1310,"Barros, Alex",?,Honda,1,25,,BR,156.0,44'18.913
2002,MotoGP,13,PAC,Motegi,1762,"Rossi, Valentino",?,Honda,2,20,,IT,155.9,+1.641
2002,MotoGP,13,PAC,Motegi,1516,"Capirossi, Loris",?,Honda,3,16,,IT,155.6,+7.672
2002,MotoGP,13,PAC,Motegi,1682,"Ukawa, Tohru",?,Honda,4,13,,JP,155.0,+18.120
2002,MotoGP,13,PAC,Motegi,1647,"Checa, Carlos",?,Yamaha,5,11,,ES,154.6,+25.036
2002,MotoGP,13,PAC,Motegi,1660,"Roberts Jr, Kenny",?,Suzuki,6,10,,US,154.3,+29.201
2002,MotoGP,13,PAC,Motegi,1714,"Jacque, Olivier",?,Yamaha,7,9,,FR,154.1,+32.902
2002,MotoGP,13,PAC,Motegi,1664,"Abe, Norick",?,Yamaha,8,8,,JP,154.1,+33.287
2002,MotoGP,13,PAC,Motegi,1509,"Aoki, Nobuatsu",?,Proton KR,9,7,,JP,153.9,+35.949
2002,MotoGP,13,PAC,Motegi,1619,"Mcwilliams, Jeremy",?,Proton KR,10,6,,GB,153.8,+37.355
2002,MotoGP,13,PAC,Motegi,1607,"Laconi, Regis",?,Aprilia,11,5,,FR,153.2,+49.039
2002,MotoGP,13,PAC,Motegi,2050,"Yoshikawa, Wataru",?,Yamaha,12,4,,JP,153.2,+49.181
2002,MotoGP,13,PAC,Motegi,1568,"Vd Goorbergh, Jurgen",?,Honda,13,3,,NL,153.1,+49.589
2002,MotoGP,13,PAC,Motegi,2049,"Hopkins, John",?,Yamaha,14,2,,US,153.0,+52.071
2002,MotoGP,13,PAC,Motegi,1508,"Harada, Tetsuya",?,Honda,15,1,,JP,153.0,+52.180
2002,MotoGP,13,PAC,Motegi,1875,"Nakano, Shinya",?,Yamaha,16,0,,JP,152.5,+1'00.485
2002,MotoGP,13,PAC,Motegi,1626,"Mccoy, Garry",?,Yamaha,17,0,,AU,152.4,+1'02.232
2002,MotoGP,13,PAC,Motegi,1645,"Riba, Pere",?,Yamaha,-2,0,,ES,,24 Laps
2002,MotoGP,14,MAL,Sepang,1567,"Biaggi, Max",?,Yamaha,1,25,,IT,158.8,44'01.592
2002,MotoGP,14,MAL,Sepang,1762,"Rossi, Valentino",?,Honda,2,20,,IT,158.7,+0.542
2002,MotoGP,14,MAL,Sepang,1310,"Barros, Alex",?,Honda,3,16,,BR,158.7,+1.572
2002,MotoGP,14,MAL,Sepang,1682,"Ukawa, Tohru",?,Honda,4,13,,JP,158.6,+2.238
2002,MotoGP,14,MAL,Sepang,1771,"Kato, Daijiro",?,Honda,5,11,,JP,158.3,+8.475
2002,MotoGP,14,MAL,Sepang,1875,"Nakano, Shinya",?,Yamaha,6,10,,JP,157.4,+23.000
2002,MotoGP,14,MAL,Sepang,1647,"Checa, Carlos",?,Yamaha,7,9,,ES,157.3,+24.360
2002,MotoGP,14,MAL,Sepang,1660,"Roberts Jr, Kenny",?,Suzuki,8,8,,US,157.3,+24.709
2002,MotoGP,14,MAL,Sepang,1516,"Capirossi, Loris",?,Honda,9,7,,IT,157.1,+27.669
2002,MotoGP,14,MAL,Sepang,1664,"Abe, Norick",?,Yamaha,10,6,,JP,156.3,+41.811
2002,MotoGP,14,MAL,Sepang,1977,"Ryo, Akira",?,Suzuki,11,5,,JP,156.3,+42.603
2002,MotoGP,14,MAL,Sepang,1619,"Mcwilliams, Jeremy",?,Proton KR,12,4,,GB,156.1,+45.761
2002,MotoGP,14,MAL,Sepang,1568,"Vd Goorbergh, Jurgen",?,Honda,13,3,,NL,155.9,+48.316
2002,MotoGP,14,MAL,Sepang,1588,"Gibernau, Sete",?,Suzuki,14,2,,ES,155.2,+1'01.270
2002,MotoGP,14,MAL,Sepang,1626,"Mccoy, Garry",?,Yamaha,15,1,,AU,154.5,+1'13.096
2002,MotoGP,14,MAL,Sepang,1669,"Cardoso, Jose Luis",?,Yamaha,16,0,,ES,154.4,+1'15.503
2002,MotoGP,14,MAL,Sepang,1607,"Laconi, Regis",?,Aprilia,17,0,,FR,154.0,+1'21.513
2002,MotoGP,14,MAL,Sepang,2049,"Hopkins, John",?,Yamaha,18,0,,US,152.8,+1'42.684
2002,MotoGP,14,MAL,Sepang,2051,"Pitt, Andrew",?,Kawasaki,19,0,,AU,152.5,+1'48.156
2002,MotoGP,14,MAL,Sepang,1714,"Jacque, Olivier",?,Yamaha,-1,0,,FR,154.4,18 Laps
2002,MotoGP,15,AUS,Phillip Island,1762,"Rossi, Valentino",?,Honda,1,25,,IT,171.4,42'02.041
2002,MotoGP,15,AUS,Phillip Island,1310,"Barros, Alex",?,Honda,2,20,,BR,170.8,+9.782
2002,MotoGP,15,AUS,Phillip Island,1682,"Ukawa, Tohru",?,Honda,3,16,,JP,170.7,+11.134
2002,MotoGP,15,AUS,Phillip Island,1771,"Kato, Daijiro",?,Honda,4,13,,JP,170.7,+11.327
